comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Human 2 vs granite3_2_vision_latest,240,-0.0014369404222393757,37.083333333333336,240,0.06946688206785091,90.0,240,0.012543903662819905,65.83333333333333,240,-0.045392022008253353,76.25,240,0.04569892473118278,70.41666666666667,granite3_2_vision_latest,Human 2,0
Human 3 vs granite3_2_vision_latest,240,-0.004948610582413259,45.0,240,0.04944791166586734,86.25,240,0.04940152339499462,62.083333333333336,240,0.020592667001506786,72.91666666666666,240,0.010989010989010515,70.0,granite3_2_vision_latest,Human 3,0
Human 4 vs granite3_2_vision_latest,240,-0.007396970764353676,40.416666666666664,240,-0.007905138339922197,92.91666666666667,240,-0.04375838926174511,66.25,240,0.1380100871160019,80.41666666666667,240,0.02631578947368412,69.16666666666667,granite3_2_vision_latest,Human 4,0
Human 5 vs granite3_2_vision_latest,240,-0.0014369404222393757,37.083333333333336,240,-0.008130081300812542,87.08333333333333,240,-0.03550561797752818,60.0,240,-0.04322272560303591,70.41666666666667,240,-0.03092783505154677,66.66666666666666,granite3_2_vision_latest,Human 5,0
Human 1 vs llama3_2_vision_11b,98,0.2526590407385109,61.224489795918366,98,-0.02361489554950077,76.53061224489795,98,-0.1130480718436346,56.12244897959183,98,-0.04665542439572802,61.224489795918366,98,0.02118644067796585,66.3265306122449,llama3_2_vision_11b,Human 1,142
Human 2 vs llama3_2_vision_11b,98,0.13513513513513517,51.02040816326531,98,-0.01746106654082123,77.55102040816327,98,-0.020833333333333787,56.12244897959183,98,0.10746812386156651,64.28571428571429,98,-0.058419243986254435,55.10204081632652,llama3_2_vision_11b,Human 2,142
Human 3 vs llama3_2_vision_11b,98,0.12427265170407302,56.12244897959183,98,0.014013654329859952,71.42857142857143,98,0.019582801191996575,52.04081632653062,98,-0.0445736434108532,55.10204081632652,98,-0.03187250996015922,62.244897959183675,llama3_2_vision_11b,Human 3,142
Human 4 vs llama3_2_vision_11b,98,0.28225352112676055,60.204081632653065,98,-0.041969781757135095,80.61224489795919,98,0.0276213462054168,62.244897959183675,98,-0.10564102564102563,55.10204081632652,98,0.05263157894736848,63.26530612244898,llama3_2_vision_11b,Human 4,142
Human 5 vs llama3_2_vision_11b,98,0.19132604106697357,56.12244897959183,98,0.028787163756488873,78.57142857142857,98,0.11015531660692943,61.224489795918366,98,0.13274336283185806,66.3265306122449,98,0.07011070110701093,63.26530612244898,llama3_2_vision_11b,Human 5,142
Human 1 vs llava_7b,240,-0.015205213215959796,22.916666666666664,240,0.0,0.0,240,0.07070707070707065,71.25,240,0.005246589716684137,34.166666666666664,240,0.0,0.0,llava_7b,Human 1,0
