comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Expert 3 vs qwen2_5vl_3b,240,-0.012448132780083054,49.166666666666664,240,-0.008305968707746173,63.74999999999999,240,-0.012396694214876044,59.166666666666664,240,-0.0003152253861510983,0.8333333333333334,240,-0.006271580579240364,0.8333333333333334,qwen2_5vl_3b,Expert 3,0
Expert 4 vs qwen2_5vl_3b,240,-0.012457979038955846,46.666666666666664,240,-0.008304836345871742,64.16666666666667,240,-0.01239933529336561,58.75,240,0.003468937243771682,1.25,240,0.0023953783288713556,1.6666666666666667,qwen2_5vl_3b,Expert 4,0
Expert 5 vs qwen2_5vl_3b,240,-0.012461059190031236,45.83333333333333,240,-0.008305968707746173,63.74999999999999,240,-0.012376581838409131,62.083333333333336,240,-0.0005254860746190242,0.8333333333333334,240,0.002043836774966524,1.6666666666666667,qwen2_5vl_3b,Expert 5,0
Expert 1 vs qwen3_vl_4b,240,0.006907337416916498,47.083333333333336,240,-0.05472636815920378,55.833333333333336,240,0.031872509960159556,66.25,240,0.035226912091399325,68.33333333333333,240,-0.011066398390342175,44.166666666666664,qwen3_vl_4b,Expert 1,0
Expert 2 vs qwen3_vl_4b,240,0.072251897666573,54.166666666666664,240,0.0819672131147541,65.0,240,0.0002777006387115124,62.5,240,-0.14151346729371553,62.916666666666664,240,0.01124169647419522,46.25,qwen3_vl_4b,Expert 2,0
Expert 3 vs qwen3_vl_4b,240,0.050000000000000044,52.5,240,-0.0158730158730161,60.0,240,-0.008146639511201545,58.75,240,-0.050513181726705415,63.74999999999999,240,0.007701047847493896,45.416666666666664,qwen3_vl_4b,Expert 3,0
Expert 4 vs qwen3_vl_4b,240,0.002413515687852027,48.333333333333336,240,-0.03466666666666698,59.583333333333336,240,-0.029176826704784314,57.49999999999999,240,-0.06090373280943036,66.25,240,-0.02570501622161231,42.916666666666664,qwen3_vl_4b,Expert 4,0
Expert 5 vs qwen3_vl_4b,240,0.061505832449628824,50.83333333333333,240,0.04761904761904746,62.5,240,-0.04527719807639972,60.0,240,0.007329842931936647,67.08333333333333,240,-0.0001272426517369838,45.416666666666664,qwen3_vl_4b,Expert 5,0
Expert 1 vs qwen3_vl_8b,24,-0.11428571428571421,45.83333333333333,24,-0.2000000000000001,50.0,24,0.03703703703703701,45.83333333333333,24,-0.3246753246753247,29.166666666666668,24,0.0,0.0,qwen3_vl_8b,Expert 1,216
Expert 2 vs qwen3_vl_8b,24,0.10810810810810814,54.166666666666664,24,0.14285714285714285,62.5,24,0.24528301886792458,58.333333333333336,24,-0.20000000000000007,37.5,24,0.0,0.0,qwen3_vl_8b,Expert 2,216
Expert 3 vs qwen3_vl_8b,24,-0.05405405405405397,45.83333333333333,24,0.0,66.66666666666666,24,-0.1111111111111111,37.5,24,-0.07692307692307697,41.66666666666667,24,0.0,0.0,qwen3_vl_8b,Expert 3,216
Expert 4 vs qwen3_vl_8b,24,-0.10526315789473678,41.66666666666667,24,0.3333333333333333,75.0,24,-0.25490196078431376,33.33333333333333,24,-0.07692307692307697,41.66666666666667,24,0.0,0.0,qwen3_vl_8b,Expert 4,216
Expert 5 vs qwen3_vl_8b,24,0.10810810810810814,54.166666666666664,24,0.0,58.333333333333336,24,0.24528301886792458,58.333333333333336,24,-0.012987012987013045,45.83333333333333,24,0.0,0.0,qwen3_vl_8b,Expert 5,216
